company_name,stock_code,matched_keyword,source_section,start_position,end_position,candidate_text_path,status,error_message
芜湖三联锻造股份有限公司,001282,历史沿革/增资/股权转让等,章节22,0,281,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\001282_芜湖三联锻造_完整解析_候选文本.md,success,
上海友升铝业股份有限公司,603418,历史沿革/增资/股权转让等,章节49,0,478,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\603418_上海友升铝业_完整解析_候选文本.md,success,
黄山谷捷股份有限公司,301581,历史沿革/增资/股权转让等,章节27,0,253,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\301581_黄山谷捷_完整解析_候选文本.md,success,
云汉芯城（上海）互联网科技股份有限公司,301563,历史沿革/增资/股权转让等,章节36,0,421,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\301563_云汉芯城（上海）互联网科技_完整解析_候选文本.md,success,
苏州赛分科技股份有限公司,688758,历史沿革/增资/股权转让等,章节50,0,400,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\688758_苏州赛分科技_完整解析_候选文本.md,success,
影石创新科技股份有限公司,688775,历史沿革/增资/股权转让等,章节37,0,484,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\688775_影石创新科技_完整解析_候选文本.md,success,
常州三协电机股份有限公司,920100,历史沿革/增资/股权转让等,章节19,0,262,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\920100_常州三协电机_完整解析_候选文本.md,success,
中科星图测控技术股份有限公司,920116,历史沿革/增资/股权转让等,章节29,0,265,C:\Users\HP\Desktop\prospectus-pevc-project\outputs\week1_candidate_texts\920116_中科星图测控技术_完整解析_候选文本.md,success,
