company_name,stock_code,file_name,parser,parse_time,page_count,markdown_path,status,error_message
芜湖三联锻造股份有限公司,001282,001282_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,476,outputs/week1_candidate_texts/001282_芜湖三联锻造_解析结果.md,success,
上海友升铝业股份有限公司,603418,603418_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,398,outputs/week1_candidate_texts/603418_上海友升铝业_解析结果.md,success,
黄山谷捷股份有限公司,301581,301581_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,343,outputs/week1_candidate_texts/301581_黄山谷捷_解析结果.md,success,
云汉芯城（上海）互联网科技股份有限公司,301563,301563_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,443,outputs/week1_candidate_texts/301563_云汉芯城（上海）互联网科技_解析结果.md,success,
苏州赛分科技股份有限公司,688758,688758_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,468,outputs/week1_candidate_texts/688758_苏州赛分科技_解析结果.md,success,
影石创新科技股份有限公司,688775,688775_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,555,outputs/week1_candidate_texts/688775_影石创新科技_解析结果.md,success,
常州三协电机股份有限公司,920100,920100_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,382,outputs/week1_candidate_texts/920100_常州三协电机_解析结果.md,success,
中科星图测控技术股份有限公司,920116,920116_IPO招股说明书.pdf,MinerU (pypdfium2),2026-06-02 21:50:30,365,outputs/week1_candidate_texts/920116_中科星图测控技术_解析结果.md,success,
