company_name,stock_code,prospectus_url,file_name,download_time,status,file_size,error_message
芜湖三联锻造股份有限公司,001282,https://static.cninfo.com.cn/finalpage/2023-05-17/1216830304.PDF,001282_三联锻造_IPO招股说明书.pdf,2025-06-02,success,11.15MB,
上海友升铝业股份有限公司,603418,https://static.cninfo.com.cn/finalpage/2025-09-18/1224667002.PDF,603418_友升股份_IPO招股说明书.pdf,2025-06-02,success,5.72MB,
黄山谷捷股份有限公司,301581,https://static.cninfo.com.cn/finalpage/2024-12-19/1222066314.PDF,301581_黄山谷捷_IPO招股说明书.pdf,2025-06-02,success,5.44MB,
云汉芯城（上海）互联网科技股份有限公司,301563,https://static.cninfo.com.cn/finalpage/2025-09-25/1224679402.PDF,301563_云汉芯城_IPO招股说明书.pdf,2025-06-02,success,10.89MB,
苏州赛分科技股份有限公司,688758,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,688758_赛分科技_IPO招股说明书.pdf,2025-06-02,success,8.09MB,
影石创新科技股份有限公司,688775,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,688775_影石创新_IPO招股说明书.pdf,2025-06-02,success,9.58MB,
常州三协电机股份有限公司,920100,https://www.bse.cn/disclosure/2025/2025-07-11/1752226211_504693.pdf,920100_三协电机_IPO招股说明书.pdf,2025-06-02,success,6.10MB,
中科星图测控技术股份有限公司,920116,https://www.bse.cn/disclosure/2024/2024-12-20/1734690128_320590.pdf,920116_星图测控_IPO招股说明书.pdf,2025-06-02,success,6.11MB,
